id,Name,ID,ALIGN,EYE,HAIR,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
22,Ted Grant (New Earth),Secret Identity,Unknown or None,Blue Eyes,Black Hair,Living Characters,605,"1942, January",1942
23,Garfield Logan (New Earth),Public Identity,Good Characters,Green Eyes,Green Hair,Living Characters,595,"1965, November",1965
24,Guy Gardner (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,593,"1968, March",1968
25,Victor Stone (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,584,"1980, October",1980
26,Kon-El (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,560,"1993, June",1993
27,Ralph Dibny (New Earth),Public Identity,Unknown or None,Blue Eyes,Red Hair,Deceased Characters,558,"1960, May",1960
28,James Olsen (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Living Characters,557,"1938, November",1938
29,John Stewart (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,549,"1971, December",1971
30,Joker (New Earth),Secret Identity,Bad Characters,Green Eyes,Green Hair,Living Characters,517,"1940, June",1940
31,Franklin Rock (New Earth),Public Identity,Good Characters,Blue Eyes,Unknown or None,Living Characters,492,"1959, April",1959
32,Garth (New Earth),Public Identity,Good Characters,Purple Eyes,Black Hair,Deceased Characters,487,"1960, February",1960
33,Rex Mason (New Earth),Secret Identity,Unknown or None,Black Eyes,Unknown or None,Living Characters,470,"1965, January",1965
34,Zatanna Zatara (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,439,"1964, November",1964
35,Aztar (New Earth),Secret Identity,Unknown or None,White Eyes,Unknown or None,Living Characters,436,"1940, February",1940
36,Theodore Kord (New Earth),Secret Identity,Unknown or None,Blue Eyes,Brown Hair,Deceased Characters,429,"1986, February",1986
37,Michael Jon Carter (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,427,"1986, February",1986
38,Cassandra Sandsmark (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,423,"1996, January",1996
39,Kent Nelson (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,422,"1940, May",1940
40,Harvey Bullock (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,413,"1974, July",1974
41,Rachel Roth (New Earth),Secret Identity,Good Characters,Purple Eyes,Black Hair,Living Characters,399,"1980, October",1980
42,Helena Bertinelli (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,393,"1989, April",1989
43,Wesley Dodds (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,391,"1939, April",1939
44,Uxas (New Earth),Public Identity,Bad Characters,Red Eyes,Unknown or None,Deceased Characters,388,"1970, December",1970
45,Ronald Raymond (New Earth),Secret Identity,Good Characters,Blue Eyes,Unknown or None,Living Characters,386,"1978, March",1978
46,Nathaniel Adam (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Living Characters,386,"1987, March",1987
47,Red Tornado (New Earth),Secret Identity,Good Characters,Green Eyes,Unknown or None,Living Characters,374,"1968, August",1968
48,John Constantine (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,371,"1984, June",1984
49,Albert Pratt (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Deceased Characters,370,"1940, October",1940
50,Charles McNider (New Earth),Secret Identity,Unknown or None,Blue Eyes,Blond Hair,Deceased Characters,361,"1941, April",1941
51,Theodore Knight (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,356,"1941, April",1941
52,Lobo (New Earth),Public Identity,Neutral Characters,Red Eyes,Black Hair,Living Characters,353,"1983, June",1983
53,Perry White (New Earth),Public Identity,Unknown or None,Blue Eyes,Brown Hair,Living Characters,350,"1986, October",1986
54,John Henry Irons (New Earth),Public Identity,Good Characters,Brown Eyes,Unknown or None,Living Characters,345,"1993, June",1993
55,Jefferson Pierce (New Earth),Secret Identity,Good Characters,Brown Eyes,Unknown or None,Living Characters,344,"1977, April",1977
56,Slade Wilson (New Earth),Secret Identity,Neutral Characters,Blue Eyes,White Hair,Living Characters,336,"1980, December",1980
57,Phantom Stranger (New Earth),Secret Identity,Unknown or None,Black Eyes,Black Hair,Living Characters,335,"1952, September",1952
58,Beatriz da Costa (New Earth),Secret Identity,Good Characters,Green Eyes,Green Hair,Living Characters,325,"1982, June",1982
59,William Batson (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,321,"1940, February",1940
60,Carol Ferris (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,319,"1959, October",1959
61,Clifford Steele (New Earth),Public Identity,Unknown or None,Photocellular Eyes,Unknown or None,Living Characters,314,"1963, June",1963
62,Etrigan (New Earth),Public Identity,Neutral Characters,Red Eyes,Unknown or None,Living Characters,311,"1972, September",1972
63,Jennifer-Lynn Hayden (New Earth),Secret Identity,Good Characters,Green Eyes,Green Hair,Living Characters,309,"1983, September",1983
64,Swamp Thing (New Earth),Public Identity,Good Characters,Red Eyes,Unknown or None,Living Characters,309,"1972, November",1972
65,Renee Montoya (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,308,"1992, March",1992
66,Harvey Dent (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Living Characters,306,"1942, August",1942
67,Courtney Whitmore (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,305,"1999, July",1999
68,Kendra Saunders (New Earth),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Deceased Characters,301,"1999, August",1999
69,Michael Holt (New Earth),Secret Identity,Unknown or None,Brown Eyes,Black Hair,Living Characters,300,"1997, June",1997
70,Kilowog (New Earth),Public Identity,Good Characters,Red Eyes,Unknown or None,Living Characters,299,"1986, June",1986
71,Kara Zor-El (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,297,"2004, May",2004
72,Jonah Hex (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,291,"1972, March",1972
73,Rex Tyler (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,288,"1940, March",1940
74,Pamela Isley (New Earth),Secret Identity,Neutral Characters,Green Eyes,Red Hair,Living Characters,286,"1966, June",1966
75,Pieter Cross (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,284,"1999, February",1999
76,Jonathan L. Thunder (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,282,"1940, January",1940
77,Mari McCabe (New Earth),Secret Identity,Good Characters,Amber Eyes,Brown Hair,Living Characters,268,"1981, July",1981
78,Scott Free (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,268,"1971, April",1971
79,Martha Clark (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,266,"1986, October",1986
80,Boston Brand (New Earth),Secret Identity,Good Characters,Blue Eyes,Unknown or None,Deceased Characters,262,"1967, October",1967
81,Daniel Turpin (New Earth),Public Identity,Unknown or None,Brown Eyes,Brown Hair,Deceased Characters,261,"1942, June",1942
82,John Zatara (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,256,"1938, June",1938
83,Jonathan Kent (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Deceased Characters,254,"1986, October",1986
84,Oswald Cobblepot (New Earth),Public Identity,Unknown or None,Blue Eyes,Black Hair,Living Characters,253,"1941, December",1941
85,Tatsu Yamashiro (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,252,"1983, July",1983
86,Lawrence Trainor (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,250,"1963, June",1963
87,Albert Rothstein (New Earth),Secret Identity,Good Characters,Blue Eyes,Unknown or None,Living Characters,245,"1983, September",1983
88,Brion Markov (New Earth),Secret Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Living Characters,245,"1983, July",1983
89,Sanderson Hawkins (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,241,"1941, December",1941
90,Jonathan Chambers (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,239,"1941, September",1941
91,Orion (New Earth),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Deceased Characters,237,"1971, March",1971
92,Thaal Sinestro (New Earth),Public Identity,Neutral Characters,Yellow Eyes,Black Hair,Living Characters,237,"1961, August",1961
93,Jason Todd (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,235,"1987, June",1987
94,Cassandra Cain (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,235,"1999, July",1999
95,Susan Dearbon (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Deceased Characters,235,"1961, March",1961
96,Jean-Paul Valley (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,234,"1992, October",1992
97,Hippolyta (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,231,"1987, February",1987
98,Sylvester Pemberton (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,229,"1941, October",1941
99,Bernhard Baker (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,229,"1965, September",1965
100,Joseph Wilson (New Earth),Secret Identity,Neutral Characters,Green Eyes,Blond Hair,Living Characters,229,"1984, May",1984
101,Jesse Chambers (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,228,"1992, August",1992
102,Floyd Lawton (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Living Characters,227,"1950, June",1950
103,Mera (New Earth),Public Identity,Unknown or None,Blue Eyes,Red Hair,Living Characters,226,"1963, October",1963
104,Tora Olafsdotter (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,225,"1988, April",1988
105,George Harkness (New Earth),Secret Identity,Unknown or None,Brown Eyes,Brown Hair,Living Characters,224,"1960, December",1960
106,Jonathan Crane (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Living Characters,222,"1941, September",1941
107,Amanda Waller (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,222,"1986, November",1986
108,Shiera Sanders (New Earth),Secret Identity,Good Characters,Brown Eyes,Red Hair,Living Characters,219,"1940, January",1940
109,Leonard Snart (New Earth),Secret Identity,Unknown or None,Brown Eyes,Brown Hair,Living Characters,219,"1957, June",1957
110,Maxwell Lord IV (New Earth),Public Identity,Neutral Characters,Black Eyes,Brown Hair,Living Characters,218,"1987, May",1987
111,Jeb Stuart (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,218,"1961, May",1961
112,Damian Wayne (Prime Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,216,"1987, September",1987
113,Big Barda (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,216,"1971, October",1971
114,Niles Caulder (New Earth),Public Identity,Good Characters,Blue Eyes,Grey Hair,Living Characters,214,"1963, June",1963
115,James Corrigan (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Deceased Characters,214,"1940, February",1940
116,Samuel Bradley (New Earth),Public Identity,Good Characters,Grey Eyes,Grey Hair,Living Characters,213,"1937, March",1937
117,Richard Tyler (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,212,"1985, November",1985
118,James Ewell Brown Stuart (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Deceased Characters,212,"1961, May",1961
119,Todd Rice (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,208,"1983, September",1983
120,Yz (New Earth),Secret Identity,Good Characters,Red Eyes,Unknown or None,Living Characters,207,"1940, January",1940
121,Matrix (Pocket Universe),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,206,"1988, April",1988
122,Wolfgang Winks (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,206,"1942, November",1942
123,William Glenmorgan (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,199,"1940, June",1940
124,Stephanie Brown (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,198,"1992, August",1992
125,Raymond Terrill (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Living Characters,192,"1992, February",1992
126,Adam Blake (New Earth),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Living Characters,191,"1951, June",1951
127,Kimiyo Hoshi (New Earth),Secret Identity,Unknown or None,Black Eyes,Black Hair,Living Characters,189,"1985, July",1985
128,Jack Ryder (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,188,"1968, April",1968
129,Vandar Adg (New Earth),Public Identity,Unknown or None,Brown Eyes,Black Hair,Living Characters,188,"1943, December",1943
130,Justin Arthur (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,184,"1941, September",1941
131,Max Mercury (New Earth),Secret Identity,Good Characters,Blue Eyes,Grey Hair,Living Characters,183,"1940, November",1940
132,Abigail Arcane (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,182,"1973, January",1973
133,Thomas Haukins (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,181,"1947, June",1947
134,Travis Morgan (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Deceased Characters,180,"1975, November",1975
135,Margaret Sawyer (New Earth),Public Identity,Unknown or None,Blue Eyes,Unknown or None,Living Characters,180,"1987, April",1987
136,Waylon Jones (New Earth),Public Identity,Bad Characters,Red Eyes,Unknown or None,Living Characters,180,"1983, March",1983
137,Gorilla Grodd (New Earth),Public Identity,Bad Characters,Grey Eyes,Black Hair,Living Characters,179,"1959, May",1959
138,Adam Strange (New Earth),Public Identity,Unknown or None,Blue Eyes,Blond Hair,Living Characters,177,"1958, December",1958
139,Patrick Dugan (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,177,"1941, October",1941
140,Talia al Ghul (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,177,"1971, May",1971
141,James Harper Clone (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,176,"1971, January",1971
142,Thomas Kalmaku (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,176,"1960, October",1960
143,Daniel Cassidy (New Earth),Secret Identity,Good Characters,Yellow Eyes,Unknown or None,Living Characters,176,"1984, June",1984
144,Gabrielle Doe (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,175,"1983, July",1983
145,Henry Hall (New Earth),Secret Identity,Good Characters,Red Eyes,Brown Hair,Living Characters,175,"1968, June",1968
146,Cyrus Gold (New Earth),Secret Identity,Bad Characters,Black Eyes,White Hair,Deceased Characters,174,"1944, October",1944
147,Linda Park (New Earth),Public Identity,Unknown or None,Brown Eyes,Black Hair,Living Characters,174,"1989, July",1989
148,Connor Hawke (New Earth),Secret Identity,Good Characters,Green Eyes,Blond Hair,Living Characters,174,"1994, October",1994
149,Edward Nashton (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,173,"1988, January",1988
150,Arisia Rrab (New Earth),Public Identity,Good Characters,Yellow Eyes,Blond Hair,Living Characters,173,"1981, May",1981
151,Joan Williams (New Earth),Public Identity,Unknown or None,Blue Eyes,Grey Hair,Living Characters,171,"1940, January",1940
152,Robert Crane (New Earth),Secret Identity,Good Characters,Red Eyes,Unknown or None,Living Characters,171,"1942, April",1942
153,William Magnus (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,170,"1962, April",1962
154,Mary Batson (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,168,"1995, April",1995
155,Jean Loring (New Earth),Public Identity,Bad Characters,Green Eyes,Black Hair,Deceased Characters,168,"1961, October",1961
156,Oberon (New Earth),Public Identity,Unknown or None,Blue Eyes,White Hair,Living Characters,167,"1971, April",1971
157,Grant Emerson (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,166,"1994, April",1994
158,Rita Farr (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,166,"1963, June",1963
159,Hector Hall (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Deceased Characters,165,"1983, September",1983
160,Jason Rusch (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,165,"2004, July",2004
161,Mercury (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,165,"1962, April",1962
162,Daniel Leong (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Deceased Characters,164,"1942, February",1942
163,Jaime Reyes (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,164,"2006, February",2006
164,Platinum (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,164,"1962, April",1962
165,Andre Chavard (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,164,"1942, June",1942
166,"Roy Raymond, Sr. (New Earth)",Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,163,"1949, November",1949
167,Vril Dox II (New Earth),Public Identity,Good Characters,Green Eyes,Blond Hair,Living Characters,163,"1964, February",1964
168,Uncle Sam (New Earth),Secret Identity,Unknown or None,Blue Eyes,White Hair,Living Characters,162,"1940, July",1940
169,Lucas Carr (New Earth),Public Identity,Unknown or None,Blue Eyes,Brown Hair,Living Characters,161,"1960, March",1960
170,Metron (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Deceased Characters,161,"1971, March",1971
171,Iron (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,161,"1962, April",1962
172,Lead (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,161,"1962, April",1962
173,Hartley Rathaway (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,160,"1959, May",1959
174,Lana Lang (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Living Characters,159,"1986, October",1986
175,DeSaad (New Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,158,"1971, May",1971
176,Charles Taine (Pre-Zero Hour),Secret Identity,Good Characters,Black Eyes,Black Hair,Living Characters,158,"1961, May",1961
177,Rose Wilson (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Living Characters,158,"1992, October",1992
178,Bane (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,157,"1993, January",1993
179,Tin (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,155,"1962, April",1962
180,Samuel Morgan (New Earth),Unknown,Good Characters,Unknown or None,Red Hair,Deceased Characters,155,"1937, March",1937
181,Salakk (New Earth),Secret Identity,Good Characters,White Eyes,Unknown or None,Living Characters,155,"1982, February",1982
182,Eve Eden (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,154,"1966, September",1966
183,Harleen Quinzel (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,153,"1999, October",1999
184,Benjamin Turner (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,153,"1975, May",1975
185,Mark Mardon (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,152,"1960, January",1960
186,Teth-Adam (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,152,"1945, December",1945
187,Catherine Grant (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,151,"1987, January",1987
188,Terrence Sloane (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Deceased Characters,151,"1942, January",1942
189,Jason Blood (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,148,"1972, September",1972
190,Gold (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,147,"1962, April",1962
191,Victor Fries (New Earth),Secret Identity,Bad Characters,Blue Eyes,Unknown or None,Living Characters,143,"1959, February",1959
192,Arthur Light (New Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Deceased Characters,142,"1962, June",1962
193,Thomas Wayne (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,142,"1987, February",1987
194,Lester Davis (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,142,"1957, February",1957
195,Alanna Strange (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,141,"1958, December",1958
196,Artemis of Bana-Mighdall (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Living Characters,141,"1994, September",1994
197,Nuidis Vulko (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,140,"1967, September",1967
198,Steven Dayton (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,140,"1964, November",1964
199,Lee Travis (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Deceased Characters,139,"1938, October",1938
200,Solis (New Earth),Secret Identity,Unknown or None,Blue Eyes,Strawberry Blond Hair,Living Characters,138,"1971, March",1971
201,Martin Stein (New Earth),Secret Identity,Good Characters,Brown Eyes,Grey Hair,Deceased Characters,138,"1978, March",1978
202,Alfred Twidgett (New Earth),Public Identity,Unknown or None,Unknown or None,Unknown or None,Living Characters,137,"1942, June",1942
203,Tubby Watts (New Earth),Unknown,Good Characters,Unknown or None,Red Hair,Living Characters,137,"1941, September",1941
204,Unknown Soldier I (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,136,"1970, July",1970
205,Giovanni Giuseppe (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Deceased Characters,136,"1960, July",1960
206,Victoria Vale (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,134,"1948, October",1948
207,Cynthia Reynolds (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,134,"1984, October",1984
208,Lucius Fox (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,133,"1979, January",1979
209,Ganthet (New Earth),Public Identity,Good Characters,Green Eyes,White Hair,Living Characters,132,1992,1992
210,Izaya (New Earth),Public Identity,Good Characters,Grey Eyes,White Hair,Deceased Characters,132,"1971, March",1971
211,Matthew Ryan (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,131,"1957, February",1957
212,Mick Rory (New Earth),Public Identity,Unknown or None,Blue Eyes,Unknown or None,Living Characters,131,"1963, November",1963
213,Dinah Drake (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,131,"1947, August",1947
214,Rory Regan (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,131,"1976, September",1976
215,Kyle Morgan (New Earth),Public Identity,Good Characters,Brown Eyes,Blond Hair,Living Characters,131,"1957, February",1957
216,Barbara Ann Minerva (New Earth),Public Identity,Unknown or None,Brown Eyes,Unknown or None,Living Characters,131,"1987, August",1987
217,Eclipso (New Earth),Secret Identity,Bad Characters,Red Eyes,Black Hair,Living Characters,131,"1963, July",1963
218,Victory (New Earth),Unknown,Good Characters,Black Eyes,White Hair,Living Characters,130,"1941, September",1941
219,Sargent Steel (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,130,"1964, December",1964
220,Robert Langstrom (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,130,"1970, June",1970
221,Walter Haley (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,129,"1957, February",1957
222,Katma Tui (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Deceased Characters,129,"1964, July",1964
223,Charles Victor Szasz (New Earth),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Deceased Characters,128,"1967, June",1967
224,Ares (New Earth),Public Identity,Bad Characters,Red Eyes,Blond Hair,Living Characters,127,"1987, February",1987
225,Rip Carter (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,127,"1942, June",1942
226,Richard Swift (New Earth),Secret Identity,Neutral Characters,Grey Eyes,Black Hair,Living Characters,126,"1942, September",1942
227,Emil Hamilton (New Earth),Public Identity,Bad Characters,Hazel Eyes,Grey Hair,Living Characters,126,"1987, January",1987
228,Eradicator (New Earth),Public Identity,Good Characters,Photocellular Eyes,Black Hair,Deceased Characters,126,"1989, May",1989
229,Frederick Freeman (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,125,"1995, May",1995
230,Katar Hol (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,125,"1989, August",1989
231,Richard Occult (New Earth),Secret Identity,Unknown or None,Grey Eyes,Black Hair,Living Characters,125,"1935, October",1935
232,Dawn Granger (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Living Characters,124,"1988, October",1988
